,Country,HDI,female work force,Population Growth Rate (%),Population_Size_2019,Education_2019,Income_2019,Life_Expectancy_2019,Cluster
29,Canada,0.929,61.13,1.112,37593384.0,0.894,0.894,0.960,1
30,Central African Republic,0.397,64.47,1.7209999999999999,4745179.0,0.353,0.353,0.512,2
31,Chad,0.39799999999999996,64.0,2.9730000000000003,15946882.0,0.288,0.288,0.527,2
32,Chile,0.851,51.8,1.023,18952035.0,0.810,0.810,0.926,1
33,China,0.7609999999999999,60.57,0.40700000000000003,1397715000.0,0.657,0.657,0.876,0
34,Colombia,0.767,56.19,1.215,50339443.0,0.682,0.682,0.881,0
35,Comoros,0.5539999999999999,34.42,2.19,850891.0,0.482,0.482,0.682,2
36,Congo,0.574,67.57,2.544,5380504.0,0.543,0.543,0.686,2
37,Congo (Democratic Republic of the),0.48,60.99,0.938,86790568.0,0.496,0.496,0.626,2
38,Costa Rica,0.81,51.9,-0.619,5047561.0,0.726,0.726,0.927,1
39,Croatia,0.851,45.37,-0.051,4065253.0,0.805,0.805,0.900,1
40,Cuba,0.7829999999999999,41.03,0.755,11333484.0,0.790,0.790,0.905,0
41,Cyprus,0.887,58.13,0.203,1198574.0,0.827,0.827,0.938,1
42,Czechia,0.9,52.81,3.165,10671870.0,0.890,0.890,0.914,1
43,Denmark,0.94,57.88,0.34700000000000003,5814422.0,0.920,0.920,0.937,1
44,Djibouti,0.524,50.74,1.494,973557.0,0.325,0.325,0.725,2
45,Dominican Republic,0.7559999999999999,54.27,1.028,10738957.0,0.666,0.666,0.832,0
46,Ecuador,0.759,55.17,1.609,17373657.0,0.702,0.702,0.877,0
47,Egypt,0.7070000000000001,18.46,1.9480000000000002,100388076.0,0.618,0.618,0.800,0
48,El Salvador,0.6729999999999999,45.37,0.507,6453550.0,0.555,0.555,0.820,0
49,Equatorial Guinea,0.5920000000000001,54.8,3.468,1355982.0,0.467,0.467,0.596,2
50,Estonia,0.892,57.45,0.13699999999999998,1326898.0,0.882,0.882,0.904,1
51,Eswatini,0.611,48.61,1.04,1148133.0,0.557,0.557,0.618,2
52,Ethiopia,0.485,73.31,2.5610000000000004,112078727.0,0.341,0.341,0.717,2
53,Fiji,0.743,38.23,0.728,889955.0,0.764,0.764,0.730,0
54,Finland,0.938,55.73,0.16399999999999998,5521606.0,0.927,0.927,0.952,1
55,France,0.9009999999999999,50.65,0.217,67248926.0,0.817,0.817,0.964,1
56,Gabon,0.703,43.29,2.451,2172578.0,0.650,0.650,0.715,0
57,Gambia,0.496,51.11,2.909,2347696.0,0.406,0.406,0.647,2
58,Georgia,0.812,55.24,-0.172,3720161.0,0.862,0.862,0.827,1
59,Germany,0.9470000000000001,55.64,0.395,83092962.0,0.943,0.943,0.944,1
60,Ghana,0.611,63.86,2.147,30417858.0,0.563,0.563,0.678,2
61,Greece,0.888,44.54,-0.474,10721582.0,0.849,0.849,0.958,1
62,Guatemala,0.6629999999999999,40.55,1.899,16604026.0,0.519,0.519,0.835,0
63,Guinea,0.47700000000000004,62.72,2.813,12771246.0,0.354,0.354,0.640,2
64,Guinea-Bissau,0.48,65.88,2.439,1920917.0,0.414,0.414,0.590,2
65,Guyana,0.682,42.84,0.48200000000000004,782775.0,0.601,0.601,0.768,0
66,Haiti,0.51,63.69,1.24,11263079.0,0.456,0.456,0.677,2
67,Honduras,0.634,52.26,1.6269999999999998,9746115.0,0.499,0.499,0.850,0
68,Hong Kong,0.9490000000000001,53.65,0.8420000000000001,7507400.0,0.880,0.880,0.998,1
69,Hungary,0.8540000000000001,48.45,-0.243,9771141.0,0.821,0.821,0.875,1
70,Iceland,0.9490000000000001,70.21,0.669,360563.0,0.926,0.926,0.969,1
71,India,0.645,20.79,1.001,1366417756.0,0.555,0.555,0.764,0
72,Indonesia,0.718,53.81,1.082,270625567.0,0.650,0.650,0.796,0
73,Iran,0.7829999999999999,17.61,1.3230000000000002,82913893.0,0.756,0.756,0.872,0
74,Iraq,0.674,11.53,2.275,39309789.0,0.557,0.557,0.778,0
75,Ireland,0.955,56.29,1.2209999999999999,4934340.0,0.922,0.922,0.959,1
76,Israel,0.919,59.6,1.609,9054000.0,0.883,0.883,0.969,1
77,Italy,0.892,41.0,-0.13699999999999998,59729081.0,0.793,0.793,0.977,1
78,Jamaica,0.7340000000000001,60.28,0.446,2948277.0,0.689,0.689,0.838,0
79,Japan,0.919,53.56,-0.28600000000000003,126264931.0,0.851,0.851,0.994,1
80,Jordan,0.7290000000000001,14.59,1.179,10101697.0,0.667,0.667,0.839,0
81,Kazakhstan,0.825,62.75,1.232,18513673.0,0.830,0.830,0.825,1
82,Kenya,0.601,72.01,2.262,52573967.0,0.534,0.534,0.718,2
83,Kuwait,0.8059999999999999,49.78,1.585,4207077.0,0.638,0.638,0.854,0
84,Kyrgyzstan,0.6970000000000001,44.09,1.716,6456200.0,0.730,0.730,0.792,0
85,Laos,0.613,76.49,1.493,7169456.0,0.481,0.481,0.737,2
86,Latvia,0.866,55.79,-1.1079999999999999,1913822.0,0.883,0.883,0.851,1
87,Lebanon,0.7440000000000001,23.11,-0.248,6855709.0,0.604,0.604,0.907,0
88,Lesotho,0.527,60.38,0.7979999999999999,2125267.0,0.532,0.532,0.528,2
89,Liberia,0.48,72.0,2.417,4937374.0,0.426,0.426,0.678,2
90,Libya,0.7240000000000001,34.01,1.422,6777453.0,0.610,0.610,0.814,0
91,Lithuania,0.882,57.26,-1.43,2794137.0,0.898,0.898,0.860,1
92,Luxembourg,0.9159999999999999,54.62,1.767,620001.0,0.806,0.806,0.958,1
93,Madagascar,0.528,83.23,2.6489999999999996,26969306.0,0.486,0.486,0.724,2
94,Malawi,0.483,72.53,2.648,18628749.0,0.470,0.470,0.681,2
95,Malaysia,0.81,51.33,1.3119999999999998,31949789.0,0.726,0.726,0.864,0
96,Maldives,0.74,41.61,2.352,530957.0,0.573,0.573,0.906,0
97,Mali,0.434,57.84,2.984,19658023.0,0.286,0.286,0.605,2
98,Malta,0.895,48.37,0.259,504062.0,0.825,0.825,0.962,1
99,Mauritania,0.546,28.1,2.722,4525698.0,0.396,0.396,0.691,2
100,Mauritius,0.804,45.04,0.18100000000000002,1265711.0,0.736,0.736,0.846,0
101,Mexico,0.779,45.58,1.075,127575529.0,0.703,0.703,0.847,0
102,Moldova,0.75,38.22,-0.222,2663251.0,0.711,0.711,0.798,0
103,Mongolia,0.737,55.33,1.676,3225166.0,0.736,0.736,0.767,0
104,Montenegro,0.8290000000000001,47.8,0.021,622028.0,0.803,0.803,0.875,1
105,Morocco,0.6859999999999999,21.59,1.209,36471766.0,0.569,0.569,0.872,0
106,Mozambique,0.456,77.44,2.897,30366043.0,0.395,0.395,0.628,2
107,Myanmar,0.583,46.23,0.649,54045422.0,0.464,0.464,0.725,2
108,Namibia,0.6459999999999999,55.77,1.857,2494524.0,0.584,0.584,0.672,2
109,Nepal,0.602,81.52,1.819,28608715.0,0.521,0.521,0.781,2
110,Netherlands,0.9440000000000001,59.0,0.22,17344874.0,0.914,0.914,0.958,1
111,New Zealand,0.9309999999999999,64.88,0.8270000000000001,4979300.0,0.926,0.926,0.958,1
112,Nicaragua,0.66,49.74,1.215,6545503.0,0.573,0.573,0.838,0
113,Niger,0.39399999999999996,60.8,3.783,23310719.0,0.249,0.249,0.653,2
114,Nigeria,0.539,48.52,2.5540000000000003,200963603.0,0.499,0.499,0.534,2
115,North Macedonia,0.774,44.92,0.01,2083458.0,0.704,0.704,0.858,0
116,Norway,0.9570000000000001,60.59,0.774,5347896.0,0.930,0.930,0.960,1
117,Oman,0.813,35.97,2.79,4974992.0,0.718,0.718,0.890,0
